crop_name,state_code,harvest_year,model,predicted_pct,actual_pct,trend_kg_ha,yield_kg_ha,role
SOJA,BA,2018,ridge_by_state,-3.71013,31.292361,3016.154154,3959.98,model
SOJA,GO,2018,ridge_by_state,-4.535902,11.647888,3232.483908,3609.0,model
SOJA,MG,2018,ridge_by_state,-2.300454,18.861386,3205.422831,3810.01,model
SOJA,MS,2018,ridge_by_state,-1.905871,18.044122,3080.204185,3636.0,model
SOJA,MT,2018,ridge_by_state,-1.553143,6.85357,3264.280277,3488.0,model
SOJA,PR,2018,ridge_by_state,1.033094,11.758681,3282.071662,3668.0,model
SOJA,RS,2018,ridge_by_state,-16.110689,17.180542,2755.576954,3229.0,model
SOJA,BA,2019,baseline_trend,0.0,6.759185,3203.649402,3420.19,baseline
SOJA,GO,2019,baseline_trend,0.0,4.557076,3328.717806,3480.41,baseline
SOJA,MG,2019,baseline_trend,0.0,2.35243,3341.21037,3419.81,baseline
SOJA,MS,2019,baseline_trend,0.0,6.830701,3201.008661,3419.66,baseline
SOJA,MT,2019,baseline_trend,0.0,2.159355,3325.999858,3397.82,baseline
SOJA,PR,2019,baseline_trend,0.0,-7.815074,3375.50849,3111.71,baseline
SOJA,RS,2019,baseline_trend,0.0,17.641045,2872.050313,3378.71,baseline
SOJA,BA,2019,ridge_by_state,-4.841236,6.759185,3203.649402,3420.19,model
SOJA,GO,2019,ridge_by_state,-4.126314,4.557076,3328.717806,3480.41,model
SOJA,MG,2019,ridge_by_state,-3.89041,2.35243,3341.21037,3419.81,model
SOJA,MS,2019,ridge_by_state,-9.54236,6.830701,3201.008661,3419.66,model
SOJA,MT,2019,ridge_by_state,-1.583004,2.159355,3325.999858,3397.82,model
SOJA,PR,2019,ridge_by_state,-4.948287,-7.815074,3375.50849,3111.71,model
SOJA,RS,2019,ridge_by_state,-4.231054,17.641045,2872.050313,3378.71,model
SOJA,BA,2020,baseline_trend,0.0,14.872476,3289.743651,3779.01,baseline
SOJA,GO,2020,baseline_trend,0.0,9.374657,3393.830079,3711.99,baseline
SOJA,MG,2020,baseline_trend,0.0,10.106307,3403.45627,3747.42,baseline
SOJA,MS,2020,baseline_trend,0.0,15.03609,3275.12,3767.57,baseline
SOJA,MT,2020,baseline_trend,0.0,6.548384,3366.611349,3587.07,baseline
SOJA,PR,2020,baseline_trend,0.0,16.215511,3377.148175,3924.77,baseline
SOJA,RS,2020,baseline_trend,0.0,-35.248478,2994.524206,1939.0,baseline
SOJA,BA,2020,ridge_by_state,0.766548,14.872476,3289.743651,3779.01,model
SOJA,GO,2020,ridge_by_state,-1.561755,9.374657,3393.830079,3711.99,model
SOJA,MG,2020,ridge_by_state,-1.568304,10.106307,3403.45627,3747.42,model
SOJA,MS,2020,ridge_by_state,-15.787713,15.03609,3275.12,3767.57,model
SOJA,MT,2020,ridge_by_state,-4.091352,6.548384,3366.611349,3587.07,model
SOJA,PR,2020,ridge_by_state,-14.317315,16.215511,3377.148175,3924.77,model
SOJA,RS,2020,ridge_by_state,-41.934153,-35.248478,2994.524206,1939.0,model
SOJA,BA,2021,baseline_trend,0.0,17.75054,3413.988596,4019.99,baseline
SOJA,GO,2021,baseline_trend,0.0,5.447957,3482.277044,3671.99,baseline
SOJA,MG,2021,baseline_trend,0.0,5.55296,3502.497709,3696.99,baseline
SOJA,MS,2021,baseline_trend,0.0,7.157557,3387.535222,3630.0,baseline
SOJA,MT,2021,baseline_trend,0.0,1.665695,3427.901601,3485.0,baseline
SOJA,PR,2021,baseline_trend,0.0,1.287424,3490.058153,3534.99,baseline
SOJA,RS,2021,baseline_trend,0.0,18.266248,2902.772389,3433.0,baseline
SOJA,BA,2021,ridge_by_state,-3.58263,17.75054,3413.988596,4019.99,model
SOJA,GO,2021,ridge_by_state,-2.725451,5.447957,3482.277044,3671.99,model
SOJA,MG,2021,ridge_by_state,-5.24214,5.55296,3502.497709,3696.99,model
SOJA,MS,2021,ridge_by_state,-11.495238,7.157557,3387.535222,3630.0,model
SOJA,MT,2021,ridge_by_state,-1.695467,1.665695,3427.901601,3485.0,model
SOJA,PR,2021,ridge_by_state,-0.857188,1.287424,3490.058153,3534.99,model
SOJA,RS,2021,ridge_by_state,-7.953209,18.266248,2902.772389,3433.0,model
SOJA,BA,2022,baseline_trend,0.0,8.160431,3554.922966,3845.02,baseline
SOJA,GO,2022,baseline_trend,0.0,13.241904,3554.329149,4024.99,baseline
SOJA,MG,2022,baseline_trend,0.0,7.218335,3582.400345,3840.99,baseline
SOJA,MS,2022,baseline_trend,0.0,-23.062242,3467.751149,2668.01,baseline
SOJA,MT,2022,baseline_trend,0.0,11.277164,3467.917287,3859.0,baseline
SOJA,PR,2022,baseline_trend,0.0,-34.298347,3537.201701,2324.0,baseline
SOJA,RS,2022,baseline_trend,0.0,-45.662749,3020.027655,1641.0,baseline
SOJA,BA,2022,ridge_by_state,-5.478964,8.160431,3554.922966,3845.02,model
SOJA,GO,2022,ridge_by_state,-1.178124,13.241904,3554.329149,4024.99,model
SOJA,MG,2022,ridge_by_state,-0.631792,7.218335,3582.400345,3840.99,model
SOJA,MS,2022,ridge_by_state,-8.806256,-23.062242,3467.751149,2668.01,model
SOJA,MT,2022,ridge_by_state,1.042764,11.277164,3467.917287,3859.0,model
SOJA,PR,2022,ridge_by_state,-3.769575,-34.298347,3537.201701,2324.0,model
SOJA,RS,2022,ridge_by_state,-14.444324,-45.662749,3020.027655,1641.0,model
SOJA,BA,2023,baseline_trend,0.0,11.339061,3656.39871,4071.0,baseline
SOJA,GO,2023,baseline_trend,0.0,7.615788,3663.040581,3942.01,baseline
SOJA,MG,2023,baseline_trend,0.0,5.339106,3670.991871,3866.99,baseline
SOJA,MS,2023,baseline_trend,0.0,11.598667,3414.010323,3809.99,baseline
SOJA,MT,2023,baseline_trend,0.0,9.288524,3551.150516,3881.0,baseline
SOJA,PR,2023,baseline_trend,0.0,15.514088,3422.102065,3953.01,baseline
SOJA,RS,2023,baseline_trend,0.0,-24.794291,2892.067677,2175.0,baseline
SOJA,BA,2023,ridge_by_state,-5.24241,11.339061,3656.39871,4071.0,model
SOJA,GO,2023,ridge_by_state,1.074536,7.615788,3663.040581,3942.01,model
SOJA,MG,2023,ridge_by_state,0.757543,5.339106,3670.991871,3866.99,model
SOJA,MS,2023,ridge_by_state,3.637219,11.598667,3414.010323,3809.99,model
SOJA,MT,2023,ridge_by_state,3.110528,9.288524,3551.150516,3881.0,model
SOJA,PR,2023,ridge_by_state,6.242074,15.514088,3422.102065,3953.01,model
SOJA,RS,2023,ridge_by_state,-36.733956,-24.794291,2892.067677,2175.0,model
SOJA,BA,2024,baseline_trend,0.0,1.403745,3774.022359,3827.0,baseline
SOJA,GO,2024,baseline_trend,0.0,-6.982067,3748.739496,3487.0,baseline
